model,method,k,ACC,Error
SVM,perm,100,0.9145631067961165,0.08543689320388348
SVM,perm,100,0.9164643030597377,0.0835356969402623
SVM,rf_shap,1,0.3796116504854369,0.6203883495145631
SVM,rf_shap,1,0.3699029126213592,0.6300970873786408
SVM,rf_shap,1,0.38786407766990294,0.6121359223300971
SVM,rf_shap,1,0.37524271844660195,0.624757281553398
SVM,rf_shap,1,0.36813987372510926,0.6318601262748907
SVM,rf_shap,2,0.4092233009708738,0.5907766990291262
SVM,rf_shap,2,0.39854368932038836,0.6014563106796116
SVM,rf_shap,2,0.40194174757281553,0.5980582524271845
SVM,rf_shap,2,0.40679611650485437,0.5932038834951456
SVM,rf_shap,2,0.39242350655658087,0.6075764934434191
SVM,rf_shap,3,0.4111650485436893,0.5888349514563107
SVM,rf_shap,3,0.40194174757281553,0.5980582524271845
SVM,rf_shap,3,0.40194174757281553,0.5980582524271845
SVM,rf_shap,3,0.4087378640776699,0.5912621359223301
SVM,rf_shap,3,0.3963088878096163,0.6036911121903836
SVM,rf_shap,4,0.4087378640776699,0.5912621359223301
SVM,rf_shap,4,0.39563106796116504,0.604368932038835
SVM,rf_shap,4,0.40436893203883495,0.595631067961165
SVM,rf_shap,4,0.40728155339805827,0.5927184466019417
SVM,rf_shap,4,0.3904808159300631,0.6095191840699369
SVM,rf_shap,5,0.4087378640776699,0.5912621359223301
SVM,rf_shap,5,0.3995145631067961,0.6004854368932039
SVM,rf_shap,5,0.41650485436893203,0.583495145631068
SVM,rf_shap,5,0.40631067961165046,0.5936893203883495
SVM,rf_shap,5,0.3929091792132103,0.6070908207867898
SVM,rf_shap,10,0.6737864077669903,0.3262135922330097
SVM,rf_shap,10,0.6718446601941748,0.32815533980582523
SVM,rf_shap,10,0.6825242718446602,0.31747572815533975
SVM,rf_shap,10,0.6611650485436893,0.3388349514563107
SVM,rf_shap,10,0.6711996114618747,0.3288003885381253
SVM,rf_shap,15,0.8577669902912621,0.14223300970873787
SVM,rf_shap,15,0.8548543689320388,0.1451456310679612
SVM,rf_shap,15,0.8543689320388349,0.1456310679611651
SVM,rf_shap,15,0.8436893203883495,0.15631067961165046
SVM,rf_shap,15,0.8411850412821759,0.15881495871782414
SVM,rf_shap,20,0.8815533980582524,0.11844660194174761
SVM,rf_shap,20,0.8796116504854369,0.12038834951456312
SVM,rf_shap,20,0.875242718446602,0.12475728155339805
SVM,rf_shap,20,0.8737864077669902,0.12621359223300976
SVM,rf_shap,20,0.8712967459932006,0.12870325400679938
SVM,rf_shap,25,0.887378640776699,0.11262135922330097
SVM,rf_shap,25,0.8786407766990292,0.12135922330097082
SVM,rf_shap,25,0.8742718446601941,0.12572815533980586
SVM,rf_shap,25,0.8723300970873786,0.12766990291262137
SVM,rf_shap,25,0.8780961631860126,0.12190383681398742
SVM,rf_shap,50,0.9145631067961165,0.08543689320388348
SVM,rf_shap,50,0.9111650485436893,0.0888349514563107
SVM,rf_shap,50,0.903883495145631,0.09611650485436896
SVM,rf_shap,50,0.9024271844660194,0.09757281553398056
SVM,rf_shap,50,0.907722195240408,0.09227780475959202
SVM,rf_shap,100,0.9218446601941748,0.07815533980582523
SVM,rf_shap,100,0.9218446601941748,0.07815533980582523
SVM,rf_shap,100,0.9131067961165048,0.0868932038834952
SVM,rf_shap,100,0.912621359223301,0.08737864077669899
SVM,rf_shap,100,0.9169499757163672,0.08305002428363284
SVM,rf,1,0.3796116504854369,0.6203883495145631
SVM,rf,1,0.3699029126213592,0.6300970873786408
SVM,rf,1,0.38786407766990294,0.6121359223300971
SVM,rf,1,0.37524271844660195,0.624757281553398
